drinks||https://www.drogariaminasbrasil.com.br/media/product/084/refrigerante-coca-cola-lata-350ml-80c.jpg|Lata de Coca-Cola|8|10|0
drinks||https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQk_DutBHYp5tc7e_DQPTDwUKdoesUDjFhAROHQwuKV7A&s|Lata de Fanta Uva|7|10|0
drinks||https://www.drogariaminasbrasil.com.br/media/product/61d/refrigerante-sprite-lata-350ml-123.jpg|Lata de Sprite|8|10|0
drinks||https://hortifruti.com.br/media/catalog/product/1/0/104191---7891991000826---refrig-guarana-lata-antartica-350ml.jpg?auto=webp&format=pjpg&width=640&height=800&fit=cover|Lata Guaraná|8.4|10|0
drinks||https://scfoods.fbitsstatic.net/img/p/refrigerante-coca-cola-sem-acucar-lata-350ml-71952/258601.jpg?w=800&h=800&v=no-change&qs=ignore|Lata Coca-Cola sem Açúcar|7.2|10|0
dessert|O pote da felicidade é frequentemente utilizado como um presente carinhoso e criativo. Pode ser oferecido em ocasiões especiais, como aniversários, festas de fim de ano, ou mesmo como um gesto de carinho em momentos em que se deseja compartilhar um pouco de alegria.|https://http2.mlstatic.com/D_NQ_NP_631711-MLU70063385706_062023-O.webp|Pote de Felicidade|19|10|40
dessert|O pote de trufas pode incluir uma variedade de sabores. Por exemplo, pode-se ter camadas de trufas de chocolate ao leite, chocolate meio amargo, chocolate branco, ou mesmo trufas com sabores especiais, como café, framboesa, menta, entre outros. Cada camada oferece uma experiência de sabor única.|https://receitasdeminuto.com/wp-content/uploads/2017/03/bombom_de_morango_no_pote2.jpg|Trufa no Pote|13.8|10|30
dessert|Uma das características marcantes da torta de sorvete é sua versatilidade. As combinações de sabores e ingredientes são praticamente infinitas, permitindo a criação de tortas de sorvete personalizadas para agradar a diferentes paladares. A torta de sorvete é uma opção refrescante e indulgente, perfeita para ocasiões especiais ou para aqueles momentos em que se deseja uma sobremesa gelada e deliciosa.|https://img.cybercook.com.br/receitas/478/torta-de-sorvete-com-calda-de-chocolate.jpeg|Torta de Sorvete|35|10|45
dessert|Bolo:O bolo de pote é geralmente preparado da mesma forma que um bolo convencional. A massa pode ser de diversos sabores, como chocolate, baunilha, cenoura, entre outros. É comum adicionar ingredientes extras, como pedaços de frutas, nozes ou gotas de chocolate, para enriquecer o sabor e a textura.|https://www.receiteria.com.br/wp-content/uploads/bolo-de-pote-de-chocolate-com-morango-fit-1-730x730.jpg|Bolo de Pote|17|10|20
dessert|O pudim é uma sobremesa clássica e deliciosa que existe em diversas variações em várias culturas ao redor do mundo.|https://www.receitasnestle.com.br/sites/default/files/styles/recipe_detail_desktop/public/srh_recipes/9954f57d1ba0fc9a818b8bbf267e31ce.jpg?itok=O1S0J0AC|Pudim|15|10|36
plates|A feijoada é um ensopado robusto e saboroso que tem como ingrediente principal o feijão-preto cozido. Além disso, é comum incluir uma variedade de carnes, geralmente de porco, que proporcionam uma mistura de sabores e texturas.|https://static.itdg.com.br/images/auto-auto/65a46e317679830188c8b758bc6008d6/feijoada-tradicional.jpg|Feijoada|14|10|45
plates|Os nhoques são pequenas bolinhas ou dumplings feitos com uma mistura de purê de batatas, farinha de trigo e ovos. O processo começa cozinhando as batatas, que são então descascadas e esmagadas para criar um purê liso e sem grumos. Em seguida, a farinha de trigo é incorporada à batata, criando uma massa macia.|https://saboresamesa.com.br/wp-content/uploads/2018/09/VZWGT7AASHHI.jpg|Noque|17|10|20
plates|Um bife suculento, muitas vezes feito de carne bovina, é preparado com temperos que podem incluir sal, pimenta e outros condimentos a gosto. O bife é então grelhado ou frito até atingir o ponto desejado, seja malpassado, ao ponto ou bem passado, de acordo com as preferências individuais.|https://www.receitas.eduguedes.com.br/wp-content/uploads/2018/05/edu-bife-a-cubana.jpg|Bife a cavalo|20|10|15
plates|O frango à milanesa começa com peitos de frango desossados e sem pele, que são cuidadosamente cortados em porções finas. Em seguida, cada pedaço de frango é delicadamente temperado com sal e pimenta, proporcionando uma base de sabores.|https://img.freepik.com/fotos-premium/prato-executivo-com-file-de-arroz-a-milanesa-e-salada_434193-1193.jpg|Frango à Milanesa|27.4|10|35
plates|O contrafilé é geralmente preparado grelhado ou assado para realçar seu sabor robusto. Antes de cozinhar, o contrafilé pode ser temperado com uma mistura de sal, pimenta, alho e ervas para acentuar seus sabores naturais.|https://media-cdn.tripadvisor.com/media/photo-s/16/83/bb/28/prato-executivo-acompanha.jpg|Contra Filé|19.4|10|39
